SMP-DAT,,DO (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),pH (unit),NH3-NL (mg/l),TEMP (Deg C),COND (uS),SAL (ppt),TUR (NTU),DS (mg/l),TS (mg/l),NO3-(mg/l),Cl (mg/l),PO4 (mg/l),As (mg/l),Hg (mg/l),Cd (mg/l),Cr (mg/l),Pb (mg/l),Zn (mg/l),Ca (mg/l),Fe (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),OG (mg/l),MBAS (mg/l),E-coli (cfu/100ml),Coliform (cfu/100ml)
2012,,7.765,3.833333333,13.83333333,46.16666667,6.988333333,0.0975,27.43,31.83333333,0.011666667,41.98333333,18.33333333,64.5,0.492666667,3.820833333,0.0425,0.004968333,0.0002,0.001,0.001,0.01,0.03322,2.000482245,0.499870061,2.122826998,0.465518673,3.720242387,1,0.05,5125,47166.66667
2013,,6.984444444,4.444444444,13.61111111,38.11111111,6.972222222,0.251444444,27.13,63.18888889,0.026666667,52.61111111,34.05555556,72.16666667,0.810666667,3.454555556,0.106,0.0069275,0.0002,0.001,0.001,0.01,0.046461429,1.768332041,0.589689746,2.966724657,0.443390824,5.013430089,1,0.05,4700,49343.75
2014,,6.04375,7.75,23.3125,48.75,7.16625,0.311625,28.64875,88,0.04,102.3,50.6,99.35,1.172625,9.024171429,0.080625,0.006114997,0.0002,0.001,0.001,0.01,0.040391527,5.964700703,0.932377092,3.852362188,0.975244368,7.606128501,1,0.05,4600,59375
2015,,6.11125,6.875,26.5125,79,7.34375,0.241,28.14,90,0.04,155.2625,48.575,127.575,1.162875,6.558,0.0785,0.010414279,0.0002,0.001,0.001,0.01,0.051375339,4.13479128,0.671798833,3.201958939,0.695362212,7.170646115,1,0.05,10787.5,1937734875
2016,,6.31375,8.25,27.5,176.875,7.505,0.328625,28.47375,101.375,0.04625,121.3875,60.875,237.75,1.213375,6.30975,0.062,0.007559391,0.0002,0.001,0.001,0.01,0.026763179,5.662125,0.85,4.2275,0.80875,9.059625,1,0.05,27075,273087.5
2017,,6.766363636,6.363636364,22.72727273,123.1818182,7.244545455,0.644545455,28.37054545,77.29090909,0.034545455,77.59090909,59.18181818,181.2727273,3.290909091,6.272727273,0.193,0.009545455,0.0002,0.001,0.001,0.01,0.017545455,4.31,0.725454545,2.672727273,0.8375,8.327272727,1,0.05,3820.1,54800
2018,,6.475156024,6.916596225,23.51505714,105.3254034,7.313554579,0.651285435,28.40471879,6.475156024,0.038338111,52.25907982,52.43476433,150.1078043,2.63441041,7.133858544,0.150867457,0.010543869,0.0002,0.001,0.001,0.01,0.021308517,6.475156024,0.765488386,2.709379924,0.68904772,9.405312568,1,0.05,5288.277083,59704.86624
2019,,6.251422267,8.013653686,28.01268781,128.5518901,7.42990673,0.713711459,28.79322373,6.251422267,0.042811778,64.91575222,57.5203532,176.1108897,3.017866732,7.340685359,0.169724743,0.012426276,0.0002,0.001,0.001,0.01,0.016870301,6.251422267,0.83762475,2.72492541,0.719577697,10.446369,1,0.05,5253.450794,59929.2747
2020,,6.002745323,8.781662491,30.77572522,152.2713655,7.495194491,0.826453803,29.02559587,6.002745323,0.048892211,71.46002041,65.61231762,205.8927634,3.459431762,7.983914387,0.184476722,0.013404198,0.0002,0.001,0.001,0.01,0.013166271,6.002745323,0.873418552,2.882643091,0.79480426,11.86878779,1,0.05,5493.091434,62984.34402
2021,,5.778264952,9.611200681,34.08962875,175.2349104,7.579733402,0.940574328,29.20964354,5.778264952,0.054066839,78.23333773,72.46373151,234.2935665,3.862424892,8.58061505,0.198839346,0.014504865,0.0002,0.001,0.001,0.01,0.010590784,5.778264952,0.910974063,2.964319776,0.864147156,13.19680789,1,0.05,5699.908746,65698.27009
2022,,5.498784965,10.29800602,36.85131857,200.0818377,7.63922489,1.071054156,29.39202792,5.498784965,0.060777968,84.96452629,81.06836069,265.8576882,4.302731759,9.336452245,0.213658166,0.015468913,0.0002,0.001,0.001,0.01,0.007367303,5.498784965,0.961556898,3.147601554,0.958369959,14.78846605,1,0.05,5924.332974,68597.08282
2023,,5.355024347,11.10937249,40.19852991,222.1609568,7.730395007,1.166455122,29.58589961,5.355024347,0.064525116,91.15133782,86.41386341,291.7091378,4.671360789,9.830200542,0.229353351,0.01685403,0.0002,0.001,0.001,0.01,0.002906385,5.355024347,0.998227923,3.144624799,0.994416948,15.88589714,1,0.05,6162.360921,71867.68658